File,Emotion,Score
aba-sad-kid.jpg,tilted_head,1.604
anger+problems+autistic+girl.jpg,no_face,0.0
anxiety-benefits-1515705842.jpg,no_face,0.0
child-7234144_1280.jpg,sad,1.081
cute-little-african-american-girl-looking-at-camera.jpg,no_face,0.0
depositphotos_208772614-stock-photo-handsome-young-man-grey-grunge.jpg,sad,0.6
holiday-tips.jpg,sad,0.995
sad-face-a-young-boys-makes-a-sad-face-expression-B0KXYD.jpg,surprised,1.0
scared-young-woman.jpg,surprised,1.839
shocked.jpg,sad,1.402
smiley-little-boy-isolated-pink_23-2148984800.jpg,surprised,2.047
Tantrum-vs-Autistic-Meltdown-What-is-the-difference-How-to-deal-with-them.jpg,sad,0.6
usman-yousaf-8dvyPDYa35Q-unsplash-edited-scaled.jpg,sad,0.6
